,food_name,food_img_path,health_code
20,Baked Potato-Train (1016).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1016).jpg,1
21,Baked Potato-Train (1017).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1017).jpg,1
22,Baked Potato-Train (1018).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1018).jpg,1
23,Baked Potato-Train (1019).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1019).jpg,1
24,Baked Potato-Train (102).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (102).jpg,1
25,Baked Potato-Train (1020).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1020).jpg,1
26,Baked Potato-Train (1021).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1021).jpg,1
27,Baked Potato-Train (1022).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1022).jpg,1
28,Baked Potato-Train (1023).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1023).jpg,1
29,Baked Potato-Train (1024).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1024).jpg,1
30,Baked Potato-Train (1025).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1025).jpg,1
31,Baked Potato-Train (1026).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1026).jpg,1
32,Baked Potato-Train (1027).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1027).jpg,1
33,Baked Potato-Train (1028).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1028).jpg,1
34,Baked Potato-Train (1029).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1029).jpg,1
35,Baked Potato-Train (103).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (103).jpg,1
36,Baked Potato-Train (1030).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1030).jpg,1
37,Baked Potato-Train (1031).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1031).jpg,1
38,Baked Potato-Train (1032).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1032).jpg,1
39,Baked Potato-Train (1033).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1033).jpg,1
40,Baked Potato-Train (1034).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1034).jpg,1
41,Baked Potato-Train (1035).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1035).jpg,1
42,Baked Potato-Train (1036).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1036).jpg,1
43,Baked Potato-Train (1037).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1037).jpg,1
44,Baked Potato-Train (1038).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1038).jpg,1
45,Baked Potato-Train (1039).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1039).jpg,1
46,Baked Potato-Train (104).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (104).jpg,1
47,Baked Potato-Train (1040).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1040).jpg,1
48,Baked Potato-Train (1041).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1041).jpg,1
49,Baked Potato-Train (1042).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1042).jpg,1
50,Baked Potato-Train (1043).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1043).jpg,1
51,Baked Potato-Train (1044).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1044).jpg,1
52,Baked Potato-Train (1045).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1045).jpg,1
53,Baked Potato-Train (1046).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1046).jpg,1
54,Baked Potato-Train (1047).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1047).jpg,1
55,Baked Potato-Train (1048).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1048).jpg,1
56,Baked Potato-Train (1049).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1049).jpg,1
57,Baked Potato-Train (105).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (105).jpg,1
58,Baked Potato-Train (1050).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1050).jpg,1
59,Baked Potato-Train (1051).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1051).jpg,1
60,Baked Potato-Train (1052).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1052).jpg,1
61,Baked Potato-Train (1053).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1053).jpg,1
62,Baked Potato-Train (1054).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1054).jpg,1
63,Baked Potato-Train (1055).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1055).jpg,1
64,Baked Potato-Train (1056).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1056).jpg,1
65,Baked Potato-Train (1057).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1057).jpg,1
66,Baked Potato-Train (1058).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1058).jpg,1
67,Baked Potato-Train (1059).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1059).jpg,1
68,Baked Potato-Train (106).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (106).jpg,1
69,Baked Potato-Train (1060).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1060).jpg,1
70,Baked Potato-Train (1061).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1061).jpg,1
71,Baked Potato-Train (1062).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1062).jpg,1
72,Baked Potato-Train (1063).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1063).jpg,1
73,Baked Potato-Train (1064).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1064).jpg,1
74,Baked Potato-Train (1065).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1065).jpg,1
75,Baked Potato-Train (1066).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1066).jpg,1
76,Baked Potato-Train (1067).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1067).jpg,1
77,Baked Potato-Train (1068).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1068).jpg,1
78,Baked Potato-Train (1069).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1069).jpg,1
79,Baked Potato-Train (107).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (107).jpg,1
80,Baked Potato-Train (1070).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1070).jpg,1
81,Baked Potato-Train (1071).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1071).jpg,1
82,Baked Potato-Train (1072).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1072).jpg,1
83,Baked Potato-Train (1073).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1073).jpg,1
84,Baked Potato-Train (1074).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1074).jpg,1
85,Baked Potato-Train (1075).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1075).jpg,1
86,Baked Potato-Train (1076).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1076).jpg,1
87,Baked Potato-Train (1077).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1077).jpg,1
88,Baked Potato-Train (1078).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1078).jpg,1
89,Baked Potato-Train (1079).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1079).jpg,1
90,Baked Potato-Train (108).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (108).jpg,1
91,Baked Potato-Train (1080).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1080).jpg,1
92,Baked Potato-Train (1081).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1081).jpg,1
93,Baked Potato-Train (1082).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1082).jpg,1
94,Baked Potato-Train (1083).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1083).jpg,1
95,Baked Potato-Train (1084).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1084).jpg,1
96,Baked Potato-Train (1085).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1085).jpg,1
97,Baked Potato-Train (1086).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1086).jpg,1
98,Baked Potato-Train (1087).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1087).jpg,1
99,Baked Potato-Train (1088).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1088).jpg,1
100,Baked Potato-Train (1089).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1089).jpg,1
101,Baked Potato-Train (109).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (109).jpg,1
102,Baked Potato-Train (1090).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1090).jpg,1
103,Baked Potato-Train (1091).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1091).jpg,1
104,Baked Potato-Train (1092).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1092).jpg,1
105,Baked Potato-Train (1093).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1093).jpg,1
106,Baked Potato-Train (1094).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1094).jpg,1
107,Baked Potato-Train (1095).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1095).jpg,1
108,Baked Potato-Train (1096).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1096).jpg,1
109,Baked Potato-Train (1097).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1097).jpg,1
110,Baked Potato-Train (1098).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1098).jpg,1
111,Baked Potato-Train (1099).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1099).jpg,1
112,Baked Potato-Train (11).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (11).jpg,1
113,Baked Potato-Train (110).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (110).jpg,1
114,Baked Potato-Train (1100).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1100).jpg,1
115,Baked Potato-Train (1101).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1101).jpg,1
116,Baked Potato-Train (1102).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1102).jpg,1
117,Baked Potato-Train (1103).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1103).jpg,1
118,Baked Potato-Train (1104).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1104).jpg,1
119,Baked Potato-Train (1105).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1105).jpg,1
120,Baked Potato-Train (1106).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1106).jpg,1
121,Baked Potato-Train (1107).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1107).jpg,1
122,Baked Potato-Train (1108).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1108).jpg,1
123,Baked Potato-Train (1109).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1109).jpg,1
124,Baked Potato-Train (111).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (111).jpg,1
125,Baked Potato-Train (1110).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1110).jpg,1
126,Baked Potato-Train (1111).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1111).jpg,1
127,Baked Potato-Train (1112).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1112).jpg,1
128,Baked Potato-Train (1113).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1113).jpg,1
129,Baked Potato-Train (1114).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1114).jpg,1
130,Baked Potato-Train (1115).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1115).jpg,1
131,Baked Potato-Train (1116).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1116).jpg,1
132,Baked Potato-Train (1117).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1117).jpg,1
133,Baked Potato-Train (1118).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1118).jpg,1
134,Baked Potato-Train (1119).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1119).jpg,1
135,Baked Potato-Train (112).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (112).jpg,1
136,Baked Potato-Train (1120).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1120).jpg,1
137,Baked Potato-Train (1121).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1121).jpg,1
138,Baked Potato-Train (1122).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1122).jpg,1
139,Baked Potato-Train (1123).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1123).jpg,1
140,Baked Potato-Train (1124).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1124).jpg,1
141,Baked Potato-Train (1125).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1125).jpg,1
142,Baked Potato-Train (1126).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1126).jpg,1
143,Baked Potato-Train (1127).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1127).jpg,1
144,Baked Potato-Train (1128).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1128).jpg,1
145,Baked Potato-Train (1129).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1129).jpg,1
146,Baked Potato-Train (113).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (113).jpg,1
147,Baked Potato-Train (1130).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1130).jpg,1
148,Baked Potato-Train (1131).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1131).jpg,1
149,Baked Potato-Train (1132).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1132).jpg,1
150,Baked Potato-Train (1133).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1133).jpg,1
151,Baked Potato-Train (1134).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1134).jpg,1
152,Baked Potato-Train (1135).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1135).jpg,1
153,Baked Potato-Train (1136).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1136).jpg,1
154,Baked Potato-Train (1137).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1137).jpg,1
155,Baked Potato-Train (1138).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1138).jpg,1
156,Baked Potato-Train (1139).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1139).jpg,1
157,Baked Potato-Train (114).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (114).jpg,1
158,Baked Potato-Train (1140).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1140).jpg,1
159,Baked Potato-Train (1141).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1141).jpg,1
160,Baked Potato-Train (1142).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1142).jpg,1
161,Baked Potato-Train (1143).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1143).jpg,1
162,Baked Potato-Train (1144).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1144).jpg,1
163,Baked Potato-Train (1145).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1145).jpg,1
164,Baked Potato-Train (1146).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1146).jpg,1
165,Baked Potato-Train (1147).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1147).jpg,1
166,Baked Potato-Train (1148).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1148).jpg,1
167,Baked Potato-Train (1149).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1149).jpg,1
168,Baked Potato-Train (115).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (115).jpg,1
169,Baked Potato-Train (1150).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1150).jpg,1
170,Baked Potato-Train (1151).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1151).jpg,1
171,Baked Potato-Train (1152).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1152).jpg,1
172,Baked Potato-Train (1153).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1153).jpg,1
173,Baked Potato-Train (1154).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1154).jpg,1
174,Baked Potato-Train (1155).jpg,/Users/mushr/Programming/AI_Projects/Digital_Health/food_dataset_hs/Baked Potato/Baked Potato-Train (1155).jpg,1
